I,time,atemp,cad,hr,lat,lon
109,2020-05-31T17:49:18.000Z,22.0,90,140,43.71871587820351123809814453125,-79.35687485150992870330810546875
110,2020-05-31T17:49:24.000Z,22.0,89,142,43.71869576163589954376220703125,-79.35670050792396068572998046875
111,2020-05-31T17:49:30.000Z,22.0,89,139,43.7187008745968341827392578125,-79.35653622262179851531982421875
112,2020-05-31T17:49:38.000Z,22.0,89,137,43.7187052331864833831787109375,-79.35648794285953044891357421875
113,2020-05-31T17:49:40.000Z,22.0,86,136,43.71865284629166126251220703125,-79.3562250025570392608642578125
114,2020-05-31T17:49:51.000Z,22.0,84,134,43.7186509184539318084716796875,-79.3562015332281589508056640625
115,2020-05-31T17:49:52.000Z,22.0,83,134,43.7186430394649505615234375,-79.35587681829929351806640625
116,2020-05-31T17:50:03.000Z,22.0,84,136,43.71862887404859066009521484375,-79.35566483996808528900146484375
117,2020-05-31T17:50:10.000Z,22.0,92,133,43.7186482362449169158935546875,-79.3555417098104953765869140625
118,2020-05-31T17:50:15.000Z,22.0,86,131,43.7186566181480884552001953125,-79.3555058352649211883544921875
119,2020-05-31T17:50:17.000Z,22.0,87,130,43.718686290085315704345703125,-79.3554823659360408782958984375
120,2020-05-31T17:50:19.000Z,22.0,0,128,43.71870716102421283721923828125,-79.3554756604135036468505859375
121,2020-05-31T17:50:20.000Z,22.0,0,128,43.71883003972470760345458984375,-79.35549418441951274871826171875
122,2020-05-31T17:51:58.000Z,23.0,0,121,43.71883414685726165771484375,-79.35549460351467132568359375
123,2020-05-31T17:51:59.000Z,23.0,0,124,43.71884479187428951263427734375,-79.35546233318746089935302734375
124,2020-05-31T17:52:01.000Z,23.0,0,127,43.718867003917694091796875,-79.35541237704455852508544921875
125,2020-05-31T17:52:03.000Z,23.0,92,130,43.71888318099081516265869140625,-79.3553630076348781585693359375
126,2020-05-31T17:52:05.000Z,23.0,90,136,43.71888904832303524017333984375,-79.3553408794105052947998046875
127,2020-05-31T17:52:06.000Z,23.0,90,133,43.71889156289398670196533203125,-79.35531967319548130035400390625
128,2020-05-31T17:52:07.000Z,23.0,90,129,43.718892820179462432861328125,-79.3552989698946475982666015625
129,2020-05-31T17:52:08.000Z,23.0,89,126,43.71889575384557247161865234375,-79.35525714419782161712646484375
130,2020-05-31T17:52:10.000Z,23.0,88,130,43.71889944188296794891357421875,-79.35523266904056072235107421875
131,2020-05-31T17:52:11.000Z,23.0,88,134,43.71890388429164886474609375,-79.35520802624523639678955078125
132,2020-05-31T17:52:12.000Z,23.0,87,140,43.7189050577580928802490234375,-79.3551859818398952484130859375
133,2020-05-31T17:52:13.000Z,22.0,88,145,43.718909583985805511474609375,-79.35516410507261753082275390625
134,2020-05-31T17:52:14.000Z,22.0,88,149,43.71891637332737445831298828125,-79.355125464498996734619140625
135,2020-05-31T17:52:16.000Z,22.0,88,145,43.71893397532403469085693359375,-79.35509185306727886199951171875
136,2020-05-31T17:52:18.000Z,22.0,88,146,43.71894068084657192230224609375,-79.35507752001285552978515625
137,2020-05-31T17:52:19.000Z,22.0,86,143,43.7189566902816295623779296875,-79.35504625551402568817138671875
138,2020-05-31T17:52:21.000Z,22.0,86,143,43.71898041106760501861572265625,-79.35498104430735111236572265625
139,2020-05-31T17:52:24.000Z,22.0,92,140,43.71898728422820568084716796875,-79.35495547950267791748046875
140,2020-05-31T17:52:25.000Z,22.0,93,137,43.71900983154773712158203125,-79.3548631109297275543212890625
141,2020-05-31T17:52:28.000Z,22.0,92,138,43.71905249543488025665283203125,-79.3548034317791461944580078125
142,2020-05-31T17:52:30.000Z,22.0,92,142,43.71910613961517810821533203125,-79.3547427468001842498779296875
143,2020-05-31T17:52:32.000Z,22.0,93,143,43.71924854815006256103515625,-79.354568235576152801513671875
144,2020-05-31T17:52:38.000Z,22.0,92,142,43.71925232000648975372314453125,-79.35454719699919223785400390625
145,2020-05-31T17:52:39.000Z,22.0,92,147,43.71926187537610530853271484375,-79.35454166494309902191162109375
146,2020-05-31T17:52:40.000Z,22.0,88,151,43.719270341098308563232421875,-79.35453345067799091339111328125
147,2020-05-31T17:52:42.000Z,22.0,88,148,43.7192832492291927337646484375,-79.3545338697731494903564453125
148,2020-05-31T17:52:43.000Z,22.0,86,149,43.7193097360432147979736328125,-79.35452925972640514373779296875
149,2020-05-31T17:52:45.000Z,22.0,86,145,43.71932096779346466064453125,-79.3545264936983585357666015625
150,2020-05-31T17:52:46.000Z,22.0,86,142,43.71934049762785434722900390625,-79.35452389530837535858154296875
151,2020-05-31T17:52:47.000Z,22.0,90,143,43.71939430944621562957763671875,-79.35448952950537204742431640625
152,2020-05-31T17:52:51.000Z,22.0,90,147,43.7193995900452136993408203125,-79.35447947122156620025634765625
153,2020-05-31T17:52:52.000Z,22.0,90,150,43.71940168552100658416748046875,-79.3544671498239040374755859375
154,2020-05-31T17:52:53.000Z,22.0,90,153,43.71940872631967067718505859375,-79.35445449315011501312255859375
155,2020-05-31T17:52:54.000Z,22.0,84,155,43.71941761113703250885009765625,-79.3543793074786663055419921875
156,2020-05-31T17:52:58.000Z,22.0,80,155,43.7194230593740940093994140625,-79.3543377332389354705810546875
157,2020-05-31T17:53:00.000Z,22.0,80,152,43.71943068690598011016845703125,-79.354315102100372314453125
158,2020-05-31T17:53:01.000Z,22.0,80,149,43.71944627724587917327880859375,-79.35429473407566547393798828125
159,2020-05-31T17:53:02.000Z,22.0,79,145,43.71944996528327465057373046875,-79.35427998192608356475830078125
160,2020-05-31T17:53:03.000Z,22.0,79,145,43.7194557487964630126953125,-79.35426036827266216278076171875
161,2020-05-31T17:53:05.000Z,22.0,79,144,43.719458095729351043701171875,-79.354251064360141754150390625
162,2020-05-31T17:53:06.000Z,22.0,79,144,43.71946102939546108245849609375,-79.35422482900321483612060546875
163,2020-05-31T17:53:08.000Z,22.0,72,145,43.71946438215672969818115234375,-79.35418560169637203216552734375
