I,time,atemp,cad,hr,lat,lon
366,2020-05-28T01:35:54.000Z,25.0,80,132,43.7245438992977142333984375,-79.35430965386331081390380859375
367,2020-05-28T01:36:03.000Z,25.0,79,134,43.72469251044094562530517578125,-79.354390539228916168212890625
368,2020-05-28T01:36:11.000Z,25.0,80,134,43.724865429103374481201171875,-79.3544607795774936676025390625
369,2020-05-28T01:36:19.000Z,25.0,82,134,43.72491714544594287872314453125,-79.3544755317270755767822265625
370,2020-05-28T01:36:22.000Z,25.0,81,134,43.72500482015311717987060546875,-79.35450394637882709503173828125
371,2020-05-28T01:36:27.000Z,25.0,79,135,43.72510406188666820526123046875,-79.3545566685497760772705078125
372,2020-05-28T01:36:34.000Z,25.0,78,138,43.72529785148799419403076171875,-79.3546114861965179443359375
373,2020-05-28T01:36:44.000Z,25.0,79,137,43.72548200190067291259765625,-79.3545730970799922943115234375
374,2020-05-28T01:36:51.000Z,25.0,86,139,43.7256555072963237762451171875,-79.35453973710536956787109375
375,2020-05-28T01:36:59.000Z,25.0,81,141,43.72584669850766658782958984375,-79.3544827401638031005859375
376,2020-05-28T01:37:07.000Z,25.0,81,140,43.72601978480815887451171875,-79.3544711731374263763427734375
377,2020-05-28T01:37:15.000Z,25.0,80,135,43.72620309703052043914794921875,-79.3545965664088726043701171875
378,2020-05-28T01:37:24.000Z,25.0,78,135,43.72622631490230560302734375,-79.3545999191701412200927734375
379,2020-05-28T01:37:25.000Z,25.0,78,131,43.72632899321615695953369140625,-79.35461877845227718353271484375
380,2020-05-28T01:37:30.000Z,25.0,79,135,43.72634726576507091522216796875,-79.354621879756450653076171875
381,2020-05-28T01:37:31.000Z,25.0,79,138,43.72636855579912662506103515625,-79.35462565161287784576416015625
382,2020-05-28T01:37:32.000Z,25.0,79,138,43.72654415667057037353515625,-79.3546435050666332244873046875
383,2020-05-28T01:37:40.000Z,25.0,79,132,43.72658799402415752410888671875,-79.35464861802756786346435546875
384,2020-05-28T01:37:42.000Z,25.0,79,129,43.7267728149890899658203125,-79.354727827012538909912109375
385,2020-05-28T01:37:51.000Z,25.0,80,130,43.7268145568668842315673828125,-79.35477300547063350677490234375
386,2020-05-28T01:37:54.000Z,25.0,80,127,43.7268286384642124176025390625,-79.354790188372135162353515625
387,2020-05-28T01:37:55.000Z,25.0,80,130,43.72688345611095428466796875,-79.35487140901386737823486328125
388,2020-05-28T01:38:00.000Z,25.0,80,132,43.72688152827322483062744140625,-79.35491658747196197509765625
389,2020-05-28T01:38:02.000Z,25.0,80,130,43.726852275431156158447265625,-79.35499210841953754425048828125
390,2020-05-28T01:38:06.000Z,25.0,79,127,43.7268209271132946014404296875,-79.35507391579449176788330078125
391,2020-05-28T01:38:10.000Z,25.0,79,128,43.7267459928989410400390625,-79.35533140785992145538330078125
392,2020-05-28T01:38:21.000Z,25.0,79,127,43.72670643031597137451171875,-79.35558185912668704986572265625
393,2020-05-28T01:38:28.000Z,25.0,80,127,43.72667801566421985626220703125,-79.355698786675930023193359375
394,2020-05-28T01:38:32.000Z,25.0,82,130,43.726621605455875396728515625,-79.35593641363084316253662109375
395,2020-05-28T01:38:40.000Z,25.0,80,130,43.72658849693834781646728515625,-79.35608678497374057769775390625
396,2020-05-28T01:38:45.000Z,25.0,80,129,43.7265278957784175872802734375,-79.35633790679275989532470703125
397,2020-05-28T01:38:53.000Z,25.0,80,129,43.726464025676250457763671875,-79.35659875161945819854736328125
398,2020-05-28T01:39:02.000Z,25.0,79,128,43.72640526853501796722412109375,-79.356823302805423736572265625
399,2020-05-28T01:39:10.000Z,25.0,81,131,43.7263750098645687103271484375,-79.357074089348316192626953125
400,2020-05-28T01:39:19.000Z,25.0,79,130,43.72636553831398487091064453125,-79.357129074633121490478515625
401,2020-05-28T01:39:21.000Z,25.0,79,129,43.7263542227447032928466796875,-79.35737843625247478485107421875
402,2020-05-28T01:39:30.000Z,25.0,79,129,43.72633360326290130615234375,-79.3574936874210834503173828125
403,2020-05-28T01:39:35.000Z,25.0,80,128,43.72628071345388889312744140625,-79.35776702128350734710693359375
404,2020-05-28T01:39:44.000Z,25.0,79,130,43.7262258119881153106689453125,-79.35792711563408374786376953125
