I,Time,AltitudeM,DistanceM,hr,Speed,RunCadence,lat,lon
168,2020-05-03T17:53:24.000Z,-3.799999952316284,1113.5,138,2.546999931335449,93,43.7204932607710361480712890625,-79.3543995916843414306640625
169,2020-05-03T17:53:29.000Z,-3.4000000953674316,1127.31005859375,138,2.565999984741211,92,43.720501475036144256591796875,-79.3543840013444423675537109375
170,2020-05-03T17:53:34.000Z,-3.4000000953674316,1141.280029296875,141,2.6029999256134033,94,43.72060817666351795196533203125,-79.35429641045629978179931640625
171,2020-05-03T17:53:40.000Z,-3,1159.3399658203125,140,2.575000047683716,94,43.72078168205916881561279296875,-79.35415425337851047515869140625
172,2020-05-03T17:53:45.000Z,-2.5999999046325684,1177.199951171875,139,2.546999931335449,95,43.72091126628220081329345703125,-79.354132711887359619140625
173,2020-05-03T17:53:52.000Z,-2.4000000953674316,1197.68994140625,141,2.753000020980835,92,43.7209227494895458221435546875,-79.35411770828068256378173828125
174,2020-05-03T17:53:58.000Z,-2,1212.6600341796875,139,2.687000036239624,92,43.72094965539872646331787109375,-79.353972785174846649169921875
175,2020-05-03T17:54:07.000Z,-2.799999952316284,1233.3699951171875,141,2.565999984741211,91,43.72096474282443523406982421875,-79.3539233319461345672607421875
176,2020-05-03T17:54:17.000Z,-2.5999999046325684,1254.56005859375,143,2.434999942779541,93,43.720991648733615875244140625,-79.353851415216922760009765625
177,2020-05-03T17:54:26.000Z,-1.399999976158142,1274.9000244140625,140,2.3610000610351562,90,43.721028864383697509765625,-79.35368754900991916656494140625
178,2020-05-03T17:54:34.000Z,-1.7999999523162842,1290.4300537109375,143,2.322999954223633,92,43.721130788326263427734375,-79.35343843884766101837158203125
179,2020-05-03T17:54:42.000Z,-1.600000023841858,1306.3900146484375,140,2.1649999618530273,91,43.72115920297801494598388671875,-79.35334372334182262420654296875
180,2020-05-03T17:54:44.000Z,-1,1311.6500244140625,140,2.1740000247955322,91,43.7211577780544757843017578125,-79.35311322100460529327392578125
181,2020-05-03T17:54:50.000Z,-0.4000000059604645,1325.6099853515625,137,2.2109999656677246,92,43.7211577780544757843017578125,-79.35311322100460529327392578125
182,2020-05-03T17:54:58.000Z,-1.399999976158142,1346.8399658203125,136,2.313999891281128,95,43.72116087935864925384521484375,-79.35308572836220264434814453125
183,2020-05-03T17:54:59.000Z,-1.399999976158142,1349.2900390625,132,2.3420000076293945,92,43.7212429381906986236572265625,-79.35293150134384632110595703125
184,2020-05-03T17:55:08.000Z,-1.2000000476837158,1370.22998046875,132,2.378999948501587,91,43.7212070636451244354248046875,-79.35275447554886341094970703125
185,2020-05-03T17:55:15.000Z,-2.4000000953674316,1386.6199951171875,133,2.3980000019073486,94,43.721199519932270050048828125,-79.35268742032349109649658203125
