I,time,atemp,cad,hr,lat,lon
73,2020-05-21T01:13:51.000Z,22.0,97,133,43.71913262642920017242431640625,-79.3578118644654750823974609375
74,2020-05-21T01:13:54.000Z,22.0,93,133,43.71906070969998836517333984375,-79.3577676080167293548583984375
75,2020-05-21T01:13:58.000Z,22.0,93,132,43.7189959175884723663330078125,-79.3577397800981998443603515625
76,2020-05-21T01:14:02.000Z,22.0,93,132,43.7189473025500774383544921875,-79.3577139638364315032958984375
77,2020-05-21T01:14:05.000Z,22.0,93,135,43.718909583985805511474609375,-79.35768336988985538482666015625
78,2020-05-21T01:14:07.000Z,22.0,95,136,43.71877974830567836761474609375,-79.35745269991457462310791015625
79,2020-05-21T01:14:15.000Z,22.0,94,135,43.71873867698013782501220703125,-79.35735463164746761322021484375
80,2020-05-21T01:14:18.000Z,22.0,91,135,43.71871084906160831451416015625,-79.35730517841875553131103515625
81,2020-05-21T01:14:20.000Z,22.0,90,135,43.71865980327129364013671875,-79.3571649491786956787109375
82,2020-05-21T01:14:24.000Z,22.0,91,135,43.7185808457434177398681640625,-79.35688055120408535003662109375
83,2020-05-21T01:14:32.000Z,21.0,90,137,43.71851496398448944091796875,-79.3567393161356449127197265625
84,2020-05-21T01:14:38.000Z,21.0,90,134,43.7185074202716350555419921875,-79.35673403553664684295654296875
85,2020-05-21T01:14:39.000Z,21.0,90,135,43.7184976972639560699462890625,-79.35670922510325908660888671875
86,2020-05-21T01:14:41.000Z,21.0,96,134,43.7184795923531055450439453125,-79.35662523843348026275634765625
87,2020-05-21T01:14:44.000Z,21.0,97,134,43.71845193207263946533203125,-79.3565332889556884765625
88,2020-05-21T01:14:47.000Z,21.0,92,137,43.7184346653521060943603515625,-79.3563564307987689971923828125
89,2020-05-21T01:14:50.000Z,21.0,95,134,43.718456961214542388916015625,-79.35619524680078029632568359375
90,2020-05-21T01:14:56.000Z,21.0,94,133,43.71845721267163753509521484375,-79.35596935451030731201171875
91,2020-05-21T01:15:03.000Z,21.0,91,136,43.71848738752305507659912109375,-79.355833567678928375244140625
92,2020-05-21T01:15:07.000Z,21.0,93,136,43.7184960208833217620849609375,-79.355580769479274749755859375
93,2020-05-21T01:15:14.000Z,21.0,87,136,43.71851571835577487945556640625,-79.35552553273737430572509765625
94,2020-05-21T01:15:16.000Z,21.0,87,136,43.7185013853013515472412109375,-79.35544364154338836669921875
95,2020-05-21T01:15:19.000Z,21.0,91,137,43.7184648402035236358642578125,-79.35518824495375156402587890625
96,2020-05-21T01:15:24.000Z,21.0,90,137,43.7185660935938358306884765625,-79.35494231991469860076904296875
97,2020-05-21T01:15:32.000Z,21.0,91,135,43.718604482710361480712890625,-79.3547911942005157470703125
98,2020-05-21T01:15:37.000Z,21.0,91,134,43.71869525872170925140380859375,-79.35467979870736598968505859375
99,2020-05-21T01:15:45.000Z,21.0,93,133,43.7187079153954982757568359375,-79.35463805682957172393798828125
100,2020-05-21T01:15:47.000Z,21.0,90,134,43.71875074692070484161376953125,-79.35459472239017486572265625
101,2020-05-21T01:15:51.000Z,21.0,89,135,43.71881662867963314056396484375,-79.3546207062900066375732421875
102,2020-05-21T01:15:53.000Z,21.0,89,135,43.7188527546823024749755859375,-79.3546381406486034393310546875
103,2020-05-21T01:15:55.000Z,21.0,91,136,43.7190837599337100982666015625,-79.35472405515611171722412109375
104,2020-05-21T01:16:04.000Z,21.0,88,136,43.71929816901683807373046875,-79.35483519919216632843017578125
105,2020-05-21T01:16:09.000Z,21.0,90,137,43.71949355117976665496826171875,-79.35492589138448238372802734375
106,2020-05-21T01:16:16.000Z,21.0,90,136,43.71956731192767620086669921875,-79.3549589999020099639892578125
107,2020-05-21T01:16:19.000Z,21.0,88,135,43.719643838703632354736328125,-79.35501851141452789306640625
108,2020-05-21T01:16:23.000Z,20.0,93,131,43.7197439186275005340576171875,-79.35497559607028961181640625
109,2020-05-21T01:16:27.000Z,20.0,88,135,43.71976512484252452850341796875,-79.354961179196834564208984375
110,2020-05-21T01:16:28.000Z,20.0,88,138,43.7197848223149776458740234375,-79.3549429066479206085205078125
111,2020-05-21T01:16:29.000Z,20.0,89,141,43.7198044359683990478515625,-79.35492572374641895294189453125
112,2020-05-21T01:16:30.000Z,20.0,89,145,43.7198270671069622039794921875,-79.35491164214909076690673828125
113,2020-05-21T01:16:31.000Z,20.0,89,148,43.71987283229827880859375,-79.35486872680485248565673828125
114,2020-05-21T01:16:33.000Z,20.0,89,151,43.72005597688257694244384765625,-79.35473662801086902618408203125
115,2020-05-21T01:16:41.000Z,20.0,92,152,43.72018220834434032440185546875,-79.3546186946332454681396484375
116,2020-05-21T01:16:47.000Z,20.0,92,149,43.720358647406101226806640625,-79.35449304990470409393310546875
117,2020-05-21T01:16:54.000Z,20.0,89,149,43.7204857170581817626953125,-79.35437553562223911285400390625
118,2020-05-21T01:17:00.000Z,20.0,89,146,43.72064757160842418670654296875,-79.354228936135768890380859375
119,2020-05-21T01:17:09.000Z,20.0,93,144,43.7206883914768695831298828125,-79.35418878681957721710205078125
